epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3459.41,0.71491,0.79522,1.08275,0.79978,0.65035,0.73869,0.47556,1.40365,1.66145,1.70309,0.0002971,0.0002971,0.0002971
73,3507.49,0.70813,0.78134,1.0728,0.79157,0.65802,0.74283,0.46751,1.41111,1.6599,1.71145,0.0002872,0.0002872,0.0002872
74,3556.21,0.70259,0.76771,1.06339,0.7866,0.66162,0.73328,0.47702,1.42732,1.68805,1.75147,0.0002773,0.0002773,0.0002773
75,3604.88,0.70143,0.75694,1.07127,0.78591,0.64776,0.72203,0.47313,1.4231,1.71677,1.75169,0.0002674,0.0002674,0.0002674
76,3654.78,0.67924,0.73513,1.04056,0.75829,0.66782,0.72622,0.46906,1.38587,1.73023,1.70886,0.0002575,0.0002575,0.0002575
77,3703.73,0.68981,0.74067,1.06346,0.70959,0.63492,0.71426,0.457,1.38084,1.70071,1.71112,0.0002476,0.0002476,0.0002476
78,3753.74,0.69092,0.74179,1.06116,0.6727,0.60195,0.68382,0.45633,1.351,1.66857,1.67719,0.0002377,0.0002377,0.0002377
79,3802.42,0.67454,0.7179,1.04315,0.77603,0.61758,0.7293,0.47079,1.39254,1.66157,1.70239,0.0002278,0.0002278,0.0002278
80,3850.86,0.68289,0.72489,1.05839,0.80698,0.64172,0.73344,0.47989,1.3719,1.60259,1.70405,0.0002179,0.0002179,0.0002179
81,3899.99,0.6689,0.72798,1.04112,0.81617,0.62865,0.7361,0.48512,1.36818,1.59199,1.70589,0.000208,0.000208,0.000208
82,3949.24,0.65826,0.7076,1.04684,0.81038,0.63748,0.73519,0.51052,1.34136,1.60101,1.68768,0.0001981,0.0001981,0.0001981
83,3998.6,0.64543,0.68466,1.03459,0.80162,0.63636,0.72686,0.50845,1.31182,1.59603,1.66434,0.0001882,0.0001882,0.0001882
84,4047.28,0.66027,0.71417,1.04514,0.81706,0.64591,0.71777,0.50333,1.31867,1.61421,1.65081,0.0001783,0.0001783,0.0001783
85,4087.52,0.64356,0.69137,1.03843,0.81111,0.61992,0.70588,0.49128,1.33625,1.60355,1.66154,0.0001684,0.0001684,0.0001684
86,4127.56,0.62533,0.68972,1.0322,0.76628,0.64903,0.71653,0.48961,1.36912,1.58246,1.6896,0.0001585,0.0001585,0.0001585
87,4168,0.63217,0.68071,1.02028,0.79534,0.6736,0.73569,0.49925,1.33313,1.56322,1.66775,0.0001486,0.0001486,0.0001486
88,4207.6,0.63126,0.66615,1.02552,0.84878,0.64205,0.74506,0.49401,1.34823,1.55853,1.67884,0.0001387,0.0001387,0.0001387
89,4247.56,0.62317,0.67914,1.02462,0.75505,0.66359,0.72381,0.48726,1.34027,1.6072,1.67279,0.0001288,0.0001288,0.0001288
90,4287.53,0.65348,0.68004,1.05748,0.75984,0.6338,0.71635,0.48758,1.34046,1.61495,1.68487,0.0001189,0.0001189,0.0001189
91,4326.64,0.63629,0.85692,1.04189,0.77408,0.6247,0.70959,0.48485,1.35929,1.63249,1.71294,0.000109,0.000109,0.000109
92,4366.03,0.5796,0.7051,0.99412,0.74732,0.61479,0.67583,0.4467,1.41963,1.79536,1.77458,9.91e-05,9.91e-05,9.91e-05
93,4405.94,0.57439,0.66604,0.99562,0.76925,0.62046,0.675,0.44996,1.40381,1.76724,1.77109,8.92e-05,8.92e-05,8.92e-05
94,4444.94,0.56145,0.67218,0.99138,0.83007,0.63486,0.71285,0.47753,1.38836,1.66492,1.74266,7.93e-05,7.93e-05,7.93e-05
95,4484.18,0.54158,0.6004,0.98167,0.77416,0.68856,0.72615,0.49883,1.36626,1.58386,1.72542,6.94e-05,6.94e-05,6.94e-05
96,4523.99,0.55211,0.59884,0.97169,0.76278,0.68507,0.72976,0.50508,1.34987,1.53875,1.72288,5.95e-05,5.95e-05,5.95e-05
97,4563.31,0.5469,0.59235,0.98275,0.79739,0.66616,0.73165,0.50717,1.34469,1.53508,1.71141,4.96e-05,4.96e-05,4.96e-05
98,4604.49,0.52188,0.5732,0.96059,0.81323,0.67155,0.73938,0.50154,1.36105,1.51913,1.73174,3.97e-05,3.97e-05,3.97e-05
99,4644.21,0.54523,0.59641,0.99458,0.80575,0.68573,0.74345,0.50686,1.36105,1.51418,1.72696,2.98e-05,2.98e-05,2.98e-05
100,4682.92,0.53377,0.56332,0.96107,0.82108,0.66639,0.74554,0.50459,1.35249,1.52325,1.72089,1.99e-05,1.99e-05,1.99e-05
